id	program_id	problem_key	version	domain	title	difficulty_level	full_text	definition	status
00000000-0000-4000-8000-000000000101	00000000-0000-4000-8000-000000000001	NORMAL-01	1	ARITHMETIC	Grocery total	1	Maya buys apples for $4 and bread for $3. How much does she spend altogether?	{"expected_final_result":{"unit":"USD","value":"7"},"workspace_slots":[],"assignable":[],"invalid_assignments":[],"fact_establishments":[],"sufficiency_dependencies":[],"gates":[],"completion_rule":{"requires_slots_filled":[]}}	DRAFT
00000000-0000-4000-8000-000000000102	00000000-0000-4000-8000-000000000001	NORMAL-02	1	ARITHMETIC	Books left	1	A shelf has 48 books. Twelve are borrowed. How many books remain?	{"expected_final_result":{"unit":"books","value":"36"},"workspace_slots":[],"assignable":[],"invalid_assignments":[],"fact_establishments":[],"sufficiency_dependencies":[],"gates":[],"completion_rule":{"requires_slots_filled":[]}}	DRAFT
00000000-0000-4000-8000-000000000103	00000000-0000-4000-8000-000000000001	NORMAL-03	1	ARITHMETIC	Pencils in boxes	1	There are 7 boxes with 8 pencils in each box. How many pencils are there?	{"expected_final_result":{"unit":"pencils","value":"56"},"workspace_slots":[],"assignable":[],"invalid_assignments":[],"fact_establishments":[],"sufficiency_dependencies":[],"gates":[],"completion_rule":{"requires_slots_filled":[]}}	DRAFT
00000000-0000-4000-8000-000000000104	00000000-0000-4000-8000-000000000001	NORMAL-04	1	ARITHMETIC	Sharing cookies	1	Thirty-six cookies are shared equally among 6 children. How many cookies does each child get?	{"expected_final_result":{"unit":"cookies","value":"6"},"workspace_slots":[],"assignable":[],"invalid_assignments":[],"fact_establishments":[],"sufficiency_dependencies":[],"gates":[],"completion_rule":{"requires_slots_filled":[]}}	DRAFT
00000000-0000-4000-8000-000000000105	00000000-0000-4000-8000-000000000001	NORMAL-05	1	ARITHMETIC	Bus passengers	1	A bus starts with 27 passengers. Nine get off and 5 get on. How many passengers are now on the bus?	{"expected_final_result":{"unit":"passengers","value":"23"},"workspace_slots":[],"assignable":[],"invalid_assignments":[],"fact_establishments":[],"sufficiency_dependencies":[],"gates":[],"completion_rule":{"requires_slots_filled":[]}}	DRAFT
00000000-0000-4000-8000-000000000106	00000000-0000-4000-8000-000000000001	NORMAL-06	1	ARITHMETIC	School supplies	2	A teacher buys 9 packs of markers. Each pack has 12 markers. How many markers did she buy?	{"expected_final_result":{"unit":"markers","value":"108"},"workspace_slots":[],"assignable":[],"invalid_assignments":[],"fact_establishments":[],"sufficiency_dependencies":[],"gates":[],"completion_rule":{"requires_slots_filled":[]}}	DRAFT
00000000-0000-4000-8000-000000000107	00000000-0000-4000-8000-000000000001	NORMAL-07	1	ARITHMETIC	Saving money	1	Noah saves $6 each week for 8 weeks. How much does he save?	{"expected_final_result":{"unit":"USD","value":"48"},"workspace_slots":[],"assignable":[],"invalid_assignments":[],"fact_establishments":[],"sufficiency_dependencies":[],"gates":[],"completion_rule":{"requires_slots_filled":[]}}	DRAFT
00000000-0000-4000-8000-000000000108	00000000-0000-4000-8000-000000000001	NORMAL-08	1	ARITHMETIC	Movie seats	2	A theater has 15 rows with 18 seats in each row. How many seats are there?	{"expected_final_result":{"unit":"seats","value":"270"},"workspace_slots":[],"assignable":[],"invalid_assignments":[],"fact_establishments":[],"sufficiency_dependencies":[],"gates":[],"completion_rule":{"requires_slots_filled":[]}}	DRAFT
00000000-0000-4000-8000-000000000109	00000000-0000-4000-8000-000000000001	NORMAL-09	1	FRACTIONS	Pizza slices	1	A pizza has 8 equal slices. Liam eats 3 slices. What fraction of the pizza did he eat?	{"expected_final_result":{"unit":"fraction","value":"3/8"},"workspace_slots":[],"assignable":[],"invalid_assignments":[],"fact_establishments":[],"sufficiency_dependencies":[],"gates":[],"completion_rule":{"requires_slots_filled":[]}}	DRAFT
00000000-0000-4000-8000-000000000110	00000000-0000-4000-8000-000000000001	NORMAL-10	1	FRACTIONS	Fraction of marbles	2	A bag has 24 marbles. One quarter are blue. How many blue marbles are there?	{"expected_final_result":{"unit":"marbles","value":"6"},"workspace_slots":[],"assignable":[],"invalid_assignments":[],"fact_establishments":[],"sufficiency_dependencies":[],"gates":[],"completion_rule":{"requires_slots_filled":[]}}	DRAFT
00000000-0000-4000-8000-000000000111	00000000-0000-4000-8000-000000000001	NORMAL-11	1	FRACTIONS	Recipe flour	2	A recipe needs 3/4 cup of flour. You make two batches. How many cups of flour are needed?	{"expected_final_result":{"unit":"cups","value":"1.5"},"workspace_slots":[],"assignable":[],"invalid_assignments":[],"fact_establishments":[],"sufficiency_dependencies":[],"gates":[],"completion_rule":{"requires_slots_filled":[]}}	DRAFT
00000000-0000-4000-8000-000000000112	00000000-0000-4000-8000-000000000001	NORMAL-12	1	FRACTIONS	Reading a book	2	Sofia read 2/5 of a 150-page book. How many pages did she read?	{"expected_final_result":{"unit":"pages","value":"60"},"workspace_slots":[],"assignable":[],"invalid_assignments":[],"fact_establishments":[],"sufficiency_dependencies":[],"gates":[],"completion_rule":{"requires_slots_filled":[]}}	DRAFT
